timestamp,aqi,pm25,pm10,no2,o3
2026-07-28 20:00:00+00:00,4.0,25.27,105.54,0.13,42.47
2026-07-28 21:00:00+00:00,4.0,25.63,108.02,0.13,42.3
2026-07-28 22:00:00+00:00,4.0,26.09,111.23,0.13,42.31
2026-07-28 23:00:00+00:00,4.0,26.48,113.56,0.13,42.35
2026-07-29 00:00:00+00:00,4.0,26.68,114.51,0.13,42.34
2026-07-29 01:00:00+00:00,4.0,26.66,115.0,0.13,42.56
2026-07-29 02:00:00+00:00,4.0,26.54,116.29,0.13,43.15
2026-07-29 03:00:00+00:00,4.0,26.36,118.27,0.12,44.01
2026-07-29 04:00:00+00:00,4.0,26.07,119.44,0.11,44.65
2026-07-29 05:00:00+00:00,4.0,25.7,119.07,0.09,45.1
2026-07-29 06:00:00+00:00,4.0,25.34,118.18,0.07,45.24
2026-07-29 07:00:00+00:00,4.0,25.12,117.52,0.06,45.1
2026-07-29 08:00:00+00:00,4.0,25.07,117.69,0.06,44.61
2026-07-29 09:00:00+00:00,4.0,25.12,118.05,0.06,43.93
2026-07-29 10:00:00+00:00,4.0,25.25,118.75,0.06,43.52
2026-07-29 11:00:00+00:00,4.0,25.35,119.1,0.06,43.56
2026-07-29 12:00:00+00:00,4.0,25.46,118.87,0.07,43.82
2026-07-29 13:00:00+00:00,4.0,25.54,118.05,0.09,44.19
2026-07-29 14:00:00+00:00,4.0,25.48,116.32,0.11,44.23
2026-07-29 15:00:00+00:00,4.0,25.47,114.59,0.12,44.07
2026-07-29 16:00:00+00:00,4.0,25.54,113.7,0.12,43.88
2026-07-29 17:00:00+00:00,4.0,25.79,113.23,0.12,43.74
2026-07-29 18:00:00+00:00,4.0,26.14,112.98,0.13,43.65
2026-07-29 19:00:00+00:00,4.0,26.46,113.16,0.13,43.67
2026-07-29 20:00:00+00:00,4.0,26.65,113.34,0.13,43.76
2026-07-29 21:00:00+00:00,4.0,26.86,114.25,0.13,43.88
2026-07-29 22:00:00+00:00,4.0,27.22,116.46,0.13,43.98
2026-07-29 23:00:00+00:00,4.0,27.71,118.52,0.13,43.74
2026-07-30 00:00:00+00:00,4.0,28.18,119.95,0.14,43.25
2026-07-30 01:00:00+00:00,4.0,28.68,121.83,0.14,42.81
2026-07-30 02:00:00+00:00,4.0,29.11,124.67,0.15,42.51
2026-07-30 03:00:00+00:00,4.0,29.5,127.89,0.15,42.51
2026-07-30 04:00:00+00:00,4.0,29.69,129.46,0.13,42.72
2026-07-30 05:00:00+00:00,4.0,29.74,129.43,0.1,43.02
2026-07-30 06:00:00+00:00,4.0,29.61,127.98,0.09,43.43
2026-07-30 07:00:00+00:00,4.0,29.31,125.9,0.08,43.78
2026-07-30 08:00:00+00:00,4.0,28.97,123.7,0.07,43.96
2026-07-30 09:00:00+00:00,4.0,28.64,121.17,0.06,43.88
2026-07-30 10:00:00+00:00,4.0,28.32,118.87,0.06,43.79
2026-07-30 11:00:00+00:00,4.0,27.96,116.73,0.06,43.82
2026-07-30 12:00:00+00:00,4.0,27.64,115.52,0.07,43.96
2026-07-30 13:00:00+00:00,4.0,27.51,115.67,0.09,44.39
2026-07-30 14:00:00+00:00,4.0,27.37,115.81,0.11,44.75
2026-07-30 15:00:00+00:00,4.0,27.37,116.68,0.12,45.39
2026-07-30 16:00:00+00:00,4.0,27.49,118.13,0.12,46.15
2026-07-30 17:00:00+00:00,4.0,27.76,118.44,0.12,46.81
2026-07-30 18:00:00+00:00,4.0,28.3,118.6,0.13,47.12
2026-07-30 19:00:00+00:00,4.0,28.97,119.49,0.13,47.14
2026-07-30 20:00:00+00:00,4.0,29.54,119.98,0.13,46.99
2026-07-30 21:00:00+00:00,4.0,29.88,119.76,0.14,46.68
2026-07-30 22:00:00+00:00,4.0,30.18,120.23,0.14,46.57
2026-07-30 23:00:00+00:00,4.0,30.44,121.57,0.14,46.27
2026-07-31 00:00:00+00:00,4.0,30.71,122.97,0.14,45.58
2026-07-31 01:00:00+00:00,4.0,30.94,124.49,0.15,44.8
2026-07-31 02:00:00+00:00,4.0,31.03,125.76,0.15,43.91
2026-07-31 03:00:00+00:00,4.0,30.89,126.49,0.15,43.11
2026-07-31 04:00:00+00:00,4.0,30.53,126.34,0.14,42.27
2026-07-31 05:00:00+00:00,4.0,30.19,125.86,0.12,41.55
2026-07-31 06:00:00+00:00,4.0,29.87,125.29,0.1,40.93
2026-07-31 07:00:00+00:00,4.0,29.58,124.68,0.09,40.16
2026-07-31 08:00:00+00:00,4.0,29.28,123.44,0.08,39.21
2026-07-31 09:00:00+00:00,4.0,29.01,122.02,0.08,38.34
2026-07-31 10:00:00+00:00,4.0,28.78,121.16,0.08,37.76
2026-07-31 11:00:00+00:00,4.0,28.45,120.07,0.08,37.47
2026-07-31 12:00:00+00:00,4.0,27.96,118.97,0.09,37.4
2026-07-31 13:00:00+00:00,4.0,27.6,119.05,0.11,37.66
2026-07-31 14:00:00+00:00,4.0,27.63,120.69,0.13,37.99
2026-07-31 15:00:00+00:00,4.0,28.21,123.23,0.14,38.35
2026-07-31 16:00:00+00:00,4.0,29.21,126.29,0.14,38.64
2026-07-31 17:00:00+00:00,4.0,30.29,129.28,0.14,39.05
2026-07-31 18:00:00+00:00,4.0,31.31,132.05,0.14,39.66
2026-07-31 19:00:00+00:00,4.0,32.12,135.12,0.14,40.14
2026-07-31 20:00:00+00:00,4.0,32.77,137.86,0.14,40.34
2026-07-31 21:00:00+00:00,4.0,33.02,138.79,0.14,40.09
2026-07-31 22:00:00+00:00,4.0,32.86,138.04,0.14,39.76
2026-07-31 23:00:00+00:00,4.0,32.35,136.13,0.14,39.34
2026-08-01 00:00:00+00:00,4.0,31.66,133.37,0.14,38.64
2026-08-01 01:00:00+00:00,4.0,30.96,130.45,0.14,37.81
2026-08-01 02:00:00+00:00,4.0,30.19,126.63,0.15,36.64
2026-08-01 03:00:00+00:00,4.0,29.32,123.04,0.16,35.7
2026-08-01 04:00:00+00:00,4.0,28.47,120.23,0.16,34.96
2026-08-01 05:00:00+00:00,4.0,27.66,118.06,0.16,34.36
2026-08-01 06:00:00+00:00,4.0,26.94,116.18,0.15,33.83
2026-08-01 07:00:00+00:00,4.0,26.32,114.62,0.14,33.4
2026-08-01 08:00:00+00:00,4.0,25.84,113.64,0.14,33.35
2026-08-01 09:00:00+00:00,4.0,25.62,113.64,0.13,33.66
2026-08-01 10:00:00+00:00,4.0,25.51,113.85,0.12,34.23
2026-08-01 11:00:00+00:00,4.0,25.46,113.8,0.12,34.79
2026-08-01 12:00:00+00:00,4.0,25.59,114.26,0.13,35.2
2026-08-01 13:00:00+00:00,4.0,25.97,115.71,0.13,35.31
2026-08-01 14:00:00+00:00,4.0,26.4,117.67,0.14,34.97
2026-08-01 15:00:00+00:00,4.0,26.86,120.13,0.14,34.39
2026-08-01 16:00:00+00:00,4.0,27.19,122.8,0.14,33.98
2026-08-01 17:00:00+00:00,4.0,27.41,125.4,0.14,33.77
2026-08-01 18:00:00+00:00,4.0,27.49,126.89,0.14,33.45
2026-08-01 19:00:00+00:00,4.0,27.35,126.35,0.15,32.8
2026-08-01 20:00:00+00:00,4.0,27.06,124.9,0.15,32.38
2026-08-01 21:00:00+00:00,4.0,26.88,124.08,0.15,32.22
2026-08-01 22:00:00+00:00,4.0,26.82,124.12,0.15,32.47
2026-08-01 23:00:00+00:00,4.0,26.65,123.25,0.14,33.24
2026-08-02 00:00:00+00:00,4.0,26.39,120.52,0.14,33.92
2026-08-02 01:00:00+00:00,4.0,25.81,112.01,0.14,34.23
2026-08-02 02:00:00+00:00,4.0,25.09,104.77,0.14,34.23
2026-08-02 03:00:00+00:00,4.0,24.57,102.13,0.14,34.08
2026-08-02 04:00:00+00:00,4.0,24.3,104.85,0.13,34.07
2026-08-02 05:00:00+00:00,4.0,24.34,109.48,0.13,33.94
2026-08-02 06:00:00+00:00,4.0,24.29,112.01,0.12,34.07
2026-08-02 07:00:00+00:00,4.0,24.03,112.81,0.11,34.73
2026-08-02 08:00:00+00:00,4.0,23.72,112.73,0.1,35.46
2026-08-02 09:00:00+00:00,4.0,23.45,111.8,0.1,35.54
2026-08-02 10:00:00+00:00,4.0,23.21,109.89,0.1,34.81
2026-08-02 11:00:00+00:00,4.0,22.96,107.7,0.11,33.91
2026-08-02 12:00:00+00:00,4.0,22.74,106.08,0.12,33.78
2026-08-02 13:00:00+00:00,4.0,22.56,106.21,0.14,34.63
2026-08-02 14:00:00+00:00,4.0,22.48,106.93,0.15,35.57
2026-08-02 15:00:00+00:00,4.0,22.64,108.82,0.15,35.57
2026-08-02 16:00:00+00:00,4.0,23.05,111.91,0.15,35.06
2026-08-02 17:00:00+00:00,4.0,23.49,115.45,0.15,34.58
2026-08-02 18:00:00+00:00,4.0,23.79,117.92,0.15,34.36
2026-08-02 19:00:00+00:00,4.0,23.84,118.42,0.15,34.55
2026-08-02 20:00:00+00:00,4.0,23.58,116.61,0.15,35.04
2026-08-02 21:00:00+00:00,4.0,23.63,115.87,0.14,35.62
2026-08-02 22:00:00+00:00,4.0,23.99,116.31,0.14,36.38
2026-08-02 23:00:00+00:00,4.0,24.11,115.1,0.13,37.22
2026-08-03 00:00:00+00:00,4.0,24.31,114.53,0.12,38.13
2026-08-03 01:00:00+00:00,4.0,24.42,114.38,0.12,39.32
2026-08-03 02:00:00+00:00,4.0,24.31,113.82,0.11,40.54
2026-08-03 03:00:00+00:00,4.0,24.02,112.81,0.12,41.66
2026-08-03 04:00:00+00:00,4.0,23.56,110.99,0.12,42.29
2026-08-03 05:00:00+00:00,4.0,22.97,108.53,0.11,42.68
2026-08-03 06:00:00+00:00,4.0,22.15,104.88,0.1,43.0
2026-08-03 07:00:00+00:00,4.0,21.56,102.41,0.09,43.28
2026-08-03 08:00:00+00:00,4.0,21.05,100.34,0.08,43.42
2026-08-03 09:00:00+00:00,3.0,20.73,99.02,0.08,43.48
2026-08-03 10:00:00+00:00,3.0,20.93,99.83,0.07,43.33
2026-08-03 11:00:00+00:00,4.0,21.23,100.57,0.08,42.86
2026-08-03 12:00:00+00:00,4.0,21.39,100.21,0.09,42.27
2026-08-03 13:00:00+00:00,3.0,21.53,99.91,0.1,42.13
2026-08-03 14:00:00+00:00,3.0,21.46,98.87,0.11,42.52
2026-08-03 15:00:00+00:00,3.0,21.57,99.4,0.11,42.97
2026-08-03 16:00:00+00:00,3.0,21.88,98.89,0.11,43.28
2026-08-03 17:00:00+00:00,4.0,22.09,100.23,0.11,43.44
2026-08-03 18:00:00+00:00,4.0,22.16,103.88,0.11,43.61
2026-08-03 19:00:00+00:00,4.0,21.99,104.71,0.11,43.74
2026-08-03 20:00:00+00:00,4.0,21.64,104.0,0.11,44.04
2026-08-03 21:00:00+00:00,4.0,21.25,102.63,0.11,44.43
2026-08-03 22:00:00+00:00,4.0,20.82,100.57,0.11,44.8
2026-08-03 23:00:00+00:00,3.0,20.74,99.41,0.1,45.1
2026-08-04 00:00:00+00:00,3.0,20.77,97.84,0.1,45.3
2026-08-04 01:00:00+00:00,3.0,20.46,94.42,0.1,45.55
2026-08-04 02:00:00+00:00,3.0,19.95,90.44,0.1,45.77
2026-08-04 03:00:00+00:00,3.0,19.52,87.04,0.1,46.1
2026-08-04 04:00:00+00:00,3.0,19.2,84.36,0.1,46.17
2026-08-04 05:00:00+00:00,3.0,19.04,83.05,0.09,46.07
2026-08-04 06:00:00+00:00,3.0,18.97,82.94,0.07,45.63
2026-08-04 07:00:00+00:00,3.0,18.94,83.53,0.06,45.07
2026-08-04 08:00:00+00:00,3.0,19.01,84.85,0.06,44.36
2026-08-04 09:00:00+00:00,3.0,19.33,87.18,0.06,43.65
2026-08-04 10:00:00+00:00,3.0,19.91,90.7,0.06,43.03
2026-08-04 11:00:00+00:00,3.0,20.56,94.39,0.06,42.44
2026-08-04 12:00:00+00:00,3.0,21.16,97.7,0.07,42.19
2026-08-04 13:00:00+00:00,4.0,21.7,100.54,0.08,42.17
2026-08-04 14:00:00+00:00,4.0,22.13,102.89,0.09,42.47
2026-08-04 15:00:00+00:00,4.0,22.47,105.09,0.1,42.95
2026-08-04 16:00:00+00:00,4.0,22.65,106.66,0.1,43.68
2026-08-04 17:00:00+00:00,4.0,22.67,107.28,0.1,44.43
2026-08-04 18:00:00+00:00,4.0,22.56,106.98,0.1,44.85
2026-08-04 19:00:00+00:00,4.0,22.46,106.35,0.1,44.75
2026-08-04 20:00:00+00:00,4.0,22.15,104.71,0.1,44.6
2026-08-04 21:00:00+00:00,4.0,21.71,102.68,0.11,44.73
2026-08-04 22:00:00+00:00,4.0,21.8,103.35,0.11,45.03
2026-08-04 23:00:00+00:00,4.0,21.92,103.89,0.11,45.18
2026-08-05 00:00:00+00:00,4.0,21.84,103.43,0.11,45.38
2026-08-05 01:00:00+00:00,4.0,21.58,102.23,0.1,45.84
2026-08-05 02:00:00+00:00,4.0,22.03,104.89,0.11,46.46
2026-08-05 03:00:00+00:00,4.0,22.86,109.68,0.11,46.96
2026-08-05 04:00:00+00:00,4.0,23.12,111.75,0.1,47.47
2026-08-05 05:00:00+00:00,4.0,22.89,110.85,0.08,48.02
2026-08-05 06:00:00+00:00,4.0,22.66,109.5,0.07,48.04
2026-08-05 07:00:00+00:00,4.0,22.62,109.11,0.06,47.33
2026-08-05 08:00:00+00:00,4.0,22.71,109.77,0.06,45.92
2026-08-05 09:00:00+00:00,4.0,22.9,110.94,0.06,44.25
2026-08-05 10:00:00+00:00,4.0,23.2,112.45,0.06,42.5
2026-08-05 11:00:00+00:00,4.0,23.55,113.35,0.07,40.65
2026-08-05 12:00:00+00:00,4.0,23.75,113.58,0.08,39.66
2026-08-05 13:00:00+00:00,4.0,23.92,114.38,0.09,39.98
2026-08-05 14:00:00+00:00,4.0,24.13,115.98,0.1,41.05
2026-08-05 15:00:00+00:00,4.0,24.3,117.3,0.11,41.94
2026-08-05 16:00:00+00:00,4.0,24.13,116.4,0.11,42.18
2026-08-05 17:00:00+00:00,4.0,23.7,113.52,0.12,42.16
2026-08-05 18:00:00+00:00,4.0,23.27,110.39,0.12,41.99
2026-08-05 19:00:00+00:00,4.0,23.04,108.14,0.12,41.63
2026-08-05 20:00:00+00:00,4.0,23.06,107.22,0.12,41.18
2026-08-05 21:00:00+00:00,4.0,23.17,107.27,0.12,40.87
2026-08-05 22:00:00+00:00,4.0,23.24,107.9,0.12,40.94
2026-08-05 23:00:00+00:00,4.0,23.27,108.74,0.12,40.99
2026-08-06 00:00:00+00:00,4.0,23.29,109.27,0.12,40.97
2026-08-06 01:00:00+00:00,4.0,23.27,108.24,0.12,40.84
2026-08-06 02:00:00+00:00,4.0,23.21,106.01,0.13,40.72
2026-08-06 03:00:00+00:00,4.0,23.11,104.21,0.12,40.83
2026-08-06 04:00:00+00:00,4.0,22.93,104.25,0.11,41.28
2026-08-06 05:00:00+00:00,4.0,22.66,105.05,0.09,41.61
2026-08-06 06:00:00+00:00,4.0,22.43,105.6,0.08,41.91
2026-08-06 07:00:00+00:00,4.0,22.28,105.73,0.07,41.8
2026-08-06 08:00:00+00:00,4.0,22.27,105.67,0.07,41.29
2026-08-06 09:00:00+00:00,4.0,22.33,105.36,0.06,40.68
2026-08-06 10:00:00+00:00,4.0,22.39,104.66,0.06,40.54
2026-08-06 11:00:00+00:00,4.0,22.39,104.08,0.07,40.96
2026-08-06 12:00:00+00:00,4.0,22.52,104.54,0.08,41.83
2026-08-06 13:00:00+00:00,4.0,22.89,106.56,0.09,42.7
2026-08-06 14:00:00+00:00,4.0,23.44,109.34,0.1,43.0
2026-08-06 15:00:00+00:00,4.0,23.99,111.94,0.11,42.73
2026-08-06 16:00:00+00:00,4.0,24.22,112.76,0.11,42.16
2026-08-06 17:00:00+00:00,4.0,24.25,112.51,0.12,41.58
2026-08-06 18:00:00+00:00,4.0,24.08,111.69,0.12,40.83
2026-08-06 19:00:00+00:00,4.0,23.71,110.56,0.12,39.86
2026-08-06 20:00:00+00:00,4.0,23.33,109.3,0.12,38.97
2026-08-06 21:00:00+00:00,4.0,23.22,108.84,0.13,38.23
2026-08-06 22:00:00+00:00,4.0,23.26,108.52,0.13,38.02
2026-08-06 23:00:00+00:00,4.0,23.22,107.18,0.13,37.76
2026-08-07 00:00:00+00:00,4.0,23.05,104.92,0.13,37.22
2026-08-07 01:00:00+00:00,4.0,22.61,100.62,0.13,36.95
2026-08-07 02:00:00+00:00,3.0,22.08,96.59,0.13,36.78
2026-08-07 03:00:00+00:00,3.0,21.68,94.6,0.12,36.54
2026-08-07 04:00:00+00:00,3.0,21.3,94.26,0.11,36.18
2026-08-07 05:00:00+00:00,3.0,20.95,94.18,0.1,35.94
2026-08-07 06:00:00+00:00,3.0,20.54,92.66,0.09,35.67
2026-08-07 07:00:00+00:00,3.0,20.09,92.3,0.07,35.4
2026-08-07 08:00:00+00:00,3.0,19.74,91.79,0.07,35.19
2026-08-07 09:00:00+00:00,3.0,19.57,91.08,0.06,34.89
2026-08-07 10:00:00+00:00,3.0,19.52,90.31,0.06,34.66
2026-08-07 11:00:00+00:00,3.0,19.44,89.47,0.06,34.44
2026-08-07 12:00:00+00:00,3.0,19.35,88.63,0.07,34.34
2026-08-07 13:00:00+00:00,3.0,19.35,88.43,0.08,34.46
2026-08-07 14:00:00+00:00,3.0,19.47,89.54,0.09,34.55
2026-08-07 15:00:00+00:00,3.0,19.8,92.14,0.1,34.51
2026-08-07 16:00:00+00:00,3.0,20.2,95.23,0.1,34.39
2026-08-07 17:00:00+00:00,3.0,20.59,98.39,0.11,34.3
2026-08-07 18:00:00+00:00,4.0,20.83,100.57,0.11,34.19
2026-08-07 19:00:00+00:00,3.0,20.79,99.15,0.11,34.06
2026-08-07 20:00:00+00:00,3.0,20.76,97.55,0.11,34.13
2026-08-07 21:00:00+00:00,3.0,20.89,97.22,0.11,34.17
2026-08-07 22:00:00+00:00,3.0,21.06,97.18,0.11,34.28
2026-08-07 23:00:00+00:00,3.0,21.04,95.66,0.11,34.5
2026-08-08 00:00:00+00:00,3.0,20.95,92.51,0.11,34.89
2026-08-08 01:00:00+00:00,3.0,20.66,91.2,0.11,35.44
2026-08-08 02:00:00+00:00,3.0,20.43,90.27,0.11,35.79
2026-08-08 03:00:00+00:00,3.0,20.16,88.37,0.12,36.01
2026-08-08 04:00:00+00:00,3.0,19.59,84.75,0.12,36.13
2026-08-08 05:00:00+00:00,3.0,18.91,80.7,0.11,36.17
2026-08-08 06:00:00+00:00,3.0,18.17,76.77,0.1,36.21
2026-08-08 07:00:00+00:00,3.0,17.44,74.01,0.09,36.39
2026-08-08 08:00:00+00:00,3.0,16.95,73.22,0.08,36.78
2026-08-08 09:00:00+00:00,3.0,16.96,74.81,0.08,37.05
2026-08-08 10:00:00+00:00,3.0,17.26,76.56,0.08,37.33
2026-08-08 11:00:00+00:00,3.0,17.38,75.21,0.08,37.54
2026-08-08 12:00:00+00:00,3.0,17.32,74.0,0.08,37.81
2026-08-08 13:00:00+00:00,3.0,17.34,74.62,0.09,38.13
2026-08-08 14:00:00+00:00,3.0,17.36,75.36,0.1,38.19
2026-08-08 15:00:00+00:00,3.0,17.4,74.47,0.1,37.97
2026-08-08 16:00:00+00:00,3.0,17.34,72.14,0.1,37.58
2026-08-08 17:00:00+00:00,3.0,17.14,68.81,0.1,37.33
2026-08-08 18:00:00+00:00,3.0,16.86,67.05,0.1,37.31
2026-08-08 19:00:00+00:00,3.0,16.7,65.45,0.1,37.25
2026-08-08 20:00:00+00:00,3.0,16.82,64.05,0.11,37.32
2026-08-08 21:00:00+00:00,3.0,17.12,63.64,0.11,37.51
2026-08-08 22:00:00+00:00,3.0,17.58,64.8,0.11,37.68
2026-08-08 23:00:00+00:00,3.0,18.35,68.04,0.11,37.79
2026-08-09 00:00:00+00:00,3.0,19.28,72.0,0.11,37.82
2026-08-09 01:00:00+00:00,3.0,19.95,74.12,0.1,37.98
2026-08-09 02:00:00+00:00,3.0,20.21,74.18,0.11,38.34
2026-08-09 03:00:00+00:00,3.0,20.25,73.32,0.11,38.95
2026-08-09 04:00:00+00:00,3.0,20.33,74.07,0.09,39.71
2026-08-09 05:00:00+00:00,3.0,20.31,74.37,0.08,40.65
2026-08-09 06:00:00+00:00,3.0,20.01,72.13,0.06,41.55
2026-08-09 07:00:00+00:00,3.0,19.57,70.84,0.05,42.07
2026-08-09 08:00:00+00:00,3.0,19.11,70.5,0.05,42.17
2026-08-09 09:00:00+00:00,3.0,18.65,70.23,0.05,41.72
2026-08-09 10:00:00+00:00,3.0,18.23,69.44,0.04,40.89
2026-08-09 11:00:00+00:00,3.0,17.93,68.9,0.05,39.8
2026-08-09 12:00:00+00:00,3.0,17.81,69.0,0.05,38.81
2026-08-09 13:00:00+00:00,3.0,17.88,69.37,0.06,38.2
2026-08-09 14:00:00+00:00,3.0,17.88,69.2,0.08,37.85
2026-08-09 15:00:00+00:00,3.0,17.79,68.47,0.08,37.83
2026-08-09 16:00:00+00:00,3.0,17.64,67.44,0.08,37.97
2026-08-09 17:00:00+00:00,3.0,17.45,66.46,0.08,38.26
2026-08-09 18:00:00+00:00,3.0,17.23,66.23,0.08,38.71
2026-08-09 19:00:00+00:00,3.0,17.05,66.81,0.08,39.21
2026-08-09 20:00:00+00:00,3.0,17.12,68.9,0.08,39.71
2026-08-09 21:00:00+00:00,3.0,17.48,72.35,0.08,40.07
2026-08-09 22:00:00+00:00,3.0,17.99,75.2,0.08,40.31
2026-08-09 23:00:00+00:00,3.0,18.29,75.39,0.09,40.18
2026-08-10 00:00:00+00:00,3.0,18.24,73.02,0.09,39.65
2026-08-10 01:00:00+00:00,3.0,17.81,67.83,0.09,38.93
2026-08-10 02:00:00+00:00,3.0,17.17,61.57,0.1,38.12
2026-08-10 03:00:00+00:00,3.0,16.4,56.02,0.1,37.58
2026-08-10 04:00:00+00:00,3.0,15.67,52.85,0.09,37.49
2026-08-10 05:00:00+00:00,3.0,15.18,52.1,0.07,37.62
2026-08-10 06:00:00+00:00,3.0,14.85,52.07,0.06,37.71
2026-08-10 07:00:00+00:00,3.0,14.57,51.89,0.05,37.63
2026-08-10 08:00:00+00:00,3.0,14.19,50.79,0.05,37.51
2026-08-10 09:00:00+00:00,2.0,13.73,49.25,0.05,37.49
2026-08-10 10:00:00+00:00,2.0,13.38,48.78,0.05,37.55
2026-08-10 11:00:00+00:00,3.0,13.4,50.41,0.05,37.23
2026-08-10 12:00:00+00:00,3.0,13.73,53.36,0.05,36.82
2026-08-10 13:00:00+00:00,3.0,14.2,56.45,0.06,36.7
2026-08-10 14:00:00+00:00,3.0,14.49,58.1,0.08,36.99
2026-08-10 15:00:00+00:00,3.0,14.58,58.73,0.08,37.65
2026-08-10 16:00:00+00:00,3.0,14.56,59.07,0.08,38.32
2026-08-10 17:00:00+00:00,3.0,14.75,60.72,0.08,38.7
2026-08-10 18:00:00+00:00,3.0,15.27,64.24,0.09,38.6
2026-08-10 19:00:00+00:00,3.0,15.85,66.78,0.09,38.24
2026-08-10 20:00:00+00:00,3.0,16.4,70.21,0.09,37.83
2026-08-10 21:00:00+00:00,3.0,16.93,73.6,0.1,37.49
2026-08-10 22:00:00+00:00,3.0,16.86,73.63,0.1,37.9
2026-08-10 23:00:00+00:00,3.0,17.06,73.95,0.1,37.84
2026-08-11 00:00:00+00:00,3.0,17.54,74.85,0.1,37.31
2026-08-11 01:00:00+00:00,3.0,17.56,73.66,0.1,37.26
2026-08-11 02:00:00+00:00,3.0,16.97,71.25,0.1,38.0
2026-08-11 03:00:00+00:00,3.0,16.53,70.76,0.1,39.17
2026-08-11 04:00:00+00:00,3.0,16.52,72.25,0.09,40.16
